# Display texts. 
# Default template. 
# Non default templates can be put in their template folder with the same name. Object names not found in the file in the template folder will be taken from the default template file

########################################## example ##############################
# PAGE->OBJECTNAME,mytext
#    PAGE = QT page name
#    OBJECTNAME = QWidget (QLabel or QPushButton)
#    , = separator between name and text
#    mytext = custom text to be displayed on screen
#################################################################################

# comment example (needs to start with a #)
# empty lines are also permitted

# page_idle
page_idle->label_welcome_message_small_top,The Ultimate Drink
page_idle->label_welcome_message_small_bottom,Enriching Your Entire Day
page_idle->label_welcome_message,Enjoy It Today
page_idle->label_printer_status->offline,Assistance Needed<br>Receipt Printer offline.
page_idle->label_printer_status->nopaper,Assistance Needed<br>Receipt Printer empty or improperly loaded.
page_idle->label_temperature_warning->temperature_too_high,Temperature Alert<br>Max %1 °C
page_idle->label_reboot_nightly_title,NIGHTLY REBOOT
page_idle->label_reboot_nightly_text,System will be rebooted in<br>%1 second(s)
page_idle->pushButton_reboot_nightly,Cancel
page_idle->label_reboot_nightly_text->count_down,System will be rebooted in<br>%1 second(s)

#page_product_menu
page_product_menu->label_product_menu_title,Discover Your Beverage
page_product_menu->pushButton_to_idle,←BACK
page_product_menu->label_base_products_section_title,1. Select Type
page_product_menu->label_dispense_products_section_title,2. Pick a drink
page_product_menu->status_text->not_enabled,Out of stock
page_product_menu->status_text->empty,Out of stock
page_product_menu->status_text->almost_empty,Almost empty
page_product_menu->status_text->sold_out,Out of stock
page_product_menu->status_text->assistance,Needs assistance
page_product_menu->status_text->coming_soon,Coming soon
page_product_menu->status_text->default,. . .
page_product_menu->status_text->available,

#page_select_product
page_select_product->label_pick_soap,Discover our Beverages
page_select_product->pushButton_to_idle,←BACK
page_select_product->no_text,

# Page_product 
page_product->pushButton_back,←BACK

#page_product_mixing
page_product_mixing->pushButton_back,←BACK
page_product_mixing->label_customize_drink,1. Customize Your Drink
page_product_mixing->label_select_quantity,2. Select Quantity
page_product_mixing->label_additives_background,Non-customizable product
page_product_mixing->label_product_ingredients_title,Curated Ingredients
page_product_mixing->pushButton_continue,Continue
page_product_mixing->custom_volume,Custom Volume
page_product_mixing->pushButton_recommended,Recommended
page_product_mixing->pushButton_order_sample,Try a \n sample

# page_product_overview
page_product_overview->label_page_title,Your Order
page_product_overview->label_checkout_title,Checkout
page_product_overview->label_invoice_size_title,Size: 
page_product_overview->label_invoice_coupon_title,Coupon Code
page_product_overview->pushButton_select_product_page,←BACK
page_product_overview->label_total,Total Amount
page_product_overview->pushButton_continue->proceed_free,Proceed
page_product_overview->pushButton_continue->proceed_pay,Proceed to Pay
page_product_overview->pushButton_continue,Continue
page_product_overview->lineEdit_promo_code->valid,Coupon Code Valid
page_product_overview->lineEdit_promo_code->invalid,Coupon Code Invalid
page_product_overview->lineEdit_promo_code->ineligible,Coupon Code Not Eligible At This Station
page_product_overview->lineEdit_promo_code->invite,Tap here to enter Coupon Code
page_product_overview->pushButton_continue->proceed_pay_tap,Pay with TAP
page_product_overview->pushButton_continue->proceed_pay_qr,Pay with QR
page_product_overview->pushButton_continue_additional->proceed_pay_qr,Pay with QR
page_product_overview->label_selected_volume->custom_volume,Custom Volume (maximum: %1)

# page_dispenser
page_dispenser->label_to_refill,To Refill
page_dispenser->label_instructions_container,01. The selected spout is indicated with a light<br><br>02. Hold your bottle into the spout<br><br>03. Keep button pressed to dispense
page_dispenser->label_volume_dispensed,Volume Dispensed
page_dispenser->pushButton_problems,Report Issue
page_dispenser->label_product_selected->custom_volume,Custom (max: %1)
page_dispenser->label_dispense_message->priming,Please press the button for up<br>to 15 seconds before the<br>product starts dispensing.
page_dispenser->label_dispense_message->out_of_stock,It appears we're out of stock.
page_dispenser->label_dispense_message->needs_attention,Station technical issue, Please<br>tap the Report Issue button.

# page_end
page_end->pushButton_contact,Feedback
page_end->label_message->hasReceiptPrinter,Please take your receipt!
page_end->label_message_2->hasReceiptPrinter2,By refilling you've helped keep a<br>plastic bottle out of our landfills.<br>Thank you!
page_end->label_message->finish_transaction,Finishing Transaction
page_end->label_volume_dispensed,Volume Dispensed:

# page_help
page_help->pushButton_to_idle,←BACK
page_help->pushButton_to_transactions,TRANSACTIONS→
page_help->pushButton_to_howTo,Instruction
page_help->pushButton_to_maintenance,Settings
page_help->pushButton_to_feedback,Contact us

#page_transactions
page_transactions->pushButton_back,←BACK

#page_how_to
page_how_to->label_page_title,How to Use
page_how_to->label_step01_heading,01. Pick
page_how_to->label_step01_instruction,Pick your drink and customize to your liking.
page_how_to->label_step02_heading,02. Pay
page_how_to->label_step02_instruction,Pay with Tap or QR.
